idx_from,state_from,onset_from_s,idx_to,state_to,onset_to_s,transition_time_s,transition_id,state_from_freq,subject,block
16,5,30.590625,17,6,32.426875,1.8362500000000033,56,h,BE13RE,B5
17,6,32.426875,18,5,33.98375,1.556874999999998,65,s,BE13RE,B5
18,5,33.98375,19,6,35.792500000000004,1.8087500000000034,56,h,BE13RE,B5
19,6,35.792500000000004,20,7,37.70875,1.916249999999998,67,h,BE13RE,B5
20,7,37.70875,21,8,39.985625,2.276874999999997,78,h,BE13RE,B5
21,8,39.985625,22,9,41.323750000000004,1.3381250000000051,89,h,BE13RE,B5
22,9,41.323750000000004,23,1,42.862500000000004,1.5387500000000003,91,h,BE13RE,B5
23,1,42.862500000000004,24,2,45.105625,2.243124999999999,12,h,BE13RE,B5
24,2,45.105625,25,4,46.7325,1.6268749999999983,24,s,BE13RE,B5
25,4,46.7325,26,5,48.370000000000005,1.6375000000000028,45,h,BE13RE,B5
26,5,48.370000000000005,27,6,50.2325,1.8624999999999972,56,h,BE13RE,B5
27,6,50.2325,28,7,52.475,2.2424999999999997,67,h,BE13RE,B5
28,7,52.475,29,8,54.275,1.7999999999999972,78,h,BE13RE,B5
29,8,54.275,30,9,55.795,1.5200000000000031,89,h,BE13RE,B5
30,9,55.795,31,1,57.23875,1.4437500000000014,91,h,BE13RE,B5
31,1,57.23875,32,3,59.01375,1.7749999999999986,13,s,BE13RE,B5
32,3,59.01375,33,4,60.550000000000004,1.5362500000000026,34,h,BE13RE,B5
33,4,60.550000000000004,34,5,62.35875,1.8087499999999963,45,h,BE13RE,B5
34,5,62.35875,35,6,64.4625,2.103750000000005,56,h,BE13RE,B5
35,6,64.4625,36,7,66.9,2.4375,67,h,BE13RE,B5
36,7,66.9,37,8,68.361875,1.461874999999992,78,h,BE13RE,B5
37,8,68.361875,38,9,69.69,1.328125,89,h,BE13RE,B5
38,9,69.69,39,8,71.0475,1.3575000000000017,98,s,BE13RE,B5
39,8,71.0475,40,9,72.16375000000001,1.116250000000008,89,h,BE13RE,B5
40,9,72.16375000000001,41,1,73.476875,1.3131249999999994,91,h,BE13RE,B5
41,1,73.476875,42,2,75.645625,2.1687499999999886,12,h,BE13RE,B5
42,2,75.645625,43,3,77.685625,2.0400000000000063,23,h,BE13RE,B5
43,3,77.685625,44,4,79.285625,1.5999999999999943,34,h,BE13RE,B5
44,4,79.285625,45,5,80.700625,1.4150000000000063,45,h,BE13RE,B5
45,5,80.700625,46,7,82.550625,1.8499999999999943,57,s,BE13RE,B5
46,7,82.550625,47,8,84.13187500000001,1.5812500000000114,78,h,BE13RE,B5
47,8,84.13187500000001,48,9,85.39,1.2581249999999926,89,h,BE13RE,B5
